file,rating,rater_0.csv,rater_1.csv,rater_2.csv,majority,worst_case
1.1._Zelení_chtějí_hlavu_Čunka.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.101._Unimex_Group_loni_vydělal_téměř_miliardu.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.11._Dva_muži_napadli_policejní_hlídku.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.12._Zneužila_Transparency_International_dotaci?.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.13._Takto_žáky_zkoušet_nechceme.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.16._Premiér_otevřel_v_Kábulu_českou_polní_nemocnici.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.17._ČSSD_kvůli_Kubicemu_dává_trestní_oznámení.txt,single_choice,krátký,krátký,vyhovující,krátký,--WORST-CASE
1.18._Do_zoo_se_„slétlo“_nejvíc_Slavíků.txt,single_choice,krátký,krátký,vyhovující,krátký,--WORST-CASE
1.19._Na_všechny_kamery_musí_být_povolení.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.22._Co_říkáte_zkouškám?.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.23._Velikonoce_budou_slunečné.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.27._V_obcích_uspěli_opět_nezávislí.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.30._Spadl_ze_skály.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.32._Mladistvý_hrozil_mačetou.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.33._Viník_nehody_ujel.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.38._Kurzy_ČNB_od_30._3._2007.txt,single_choice,krátký,nezpravodajský,krátký,krátký,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.40._Mladí_farmáři_mají_vydělat.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.41._Vodáci_odemkli_Lužnici.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.44._ČNB_v_loňském_roce_skončila_ve_ztrátě_564_miliardy_korun.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.46._Co_říkají_ke_spolupráci_ODS_a_KSČM.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.50._Najel_na_strážníka.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.51._Sklepy_se_změnily_v_turistické_korzo.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.52._Čunek_chce_výpověď_z_bytu_bez_důvodu_delší_než_dva_roky.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.53._Říman:_o_žalobě_na_EK_kvůli_emisím_rozhodne_analýza.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.54._Topolánek_už_s_vulgarismy_narazil_i_u_manželky_Pavly.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.55._Vyšetřování_prověrek_v_NBÚ_policie_odložila.txt,single_choice,nezpravodajský,krátký,krátký,krátký,--WORST-CASE
1.56._Češi_a_Němci_o_nacionalismu_a_strachu.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.57._Policisté_zatýkali_podle_manuálu.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.58._Buď_Čunek_nebo_my_navrhovala_část_zelených.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.59._Zákoník_práce_dopadl_i_na_hrady.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.6._Květinko_hýčkal_Zeman_Volfovou.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
