text,rater,codebook,individual_questions,zpravodajske_hodnoty-negativita,zpravodajske_hodnoty-blizkost,zpravodajske_hodnoty-eliti_osoby,zpravodajske_hodnoty-personalizace,zpravodajske_hodnoty-dopad,temata_clanku-vnitrni_politicke_deni,temata_clanku-mezinarodni_politicke_reakce,temata_clanku-vojenske_operace_izraele,temata_clanku-teroristicke_operace,temata_clanku-dopad_na_izraelske_civilisty,temata_clanku-dopad_na_palestinske_civilisty,temata_clanku-humanitarni_pomoc,temata_clanku-globalni_reakce_verejnosti,temata_clanku-ekonomicke_dusledky,temata_clanku-historie,hlavni_tema_clanku,medialni_ramce-ramec_konfliktu,medialni_ramce-ramec_budovani_miru,medialni_ramce-humanitarni_ramec,medialni_ramce-historicko_kulturni_ramec,medialni_ramce-geopoliticky_ramec,medialni_ramce-lokalni_ramec,mluvci-politicti_predstavitele_izraele,mluvci-politicti_predstavitele_palestiny,mluvci-politici_z_blizkovychodnich_zemi,mluvci-politici_ze_ostatnich_svetovych_zemi,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci,mluvci-vojensti_predstavitele_izraele,mluvci-clenove_teroristickych_skupin,mluvci-nezavisli_experti_a_analytici,mluvci-media_a_novinari,mluvci-ociti_svedci_a_civiliste_z_izraele,mluvci-ociti_svedci_a_civiliste_z_palestiny
2024WN119043.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,9,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
2023-11-02T08-14-00_2023WN306020.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2024WN185176.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,3,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
2023-12-05T07-38-00_2023WN339020.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
2024-01-31T09-52-00_2024WN031056.txt,anthropic-claude-haiku-4.5,kveten,true,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-11-30T07-26-00_2023WN334018.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2024-01-04T05-35-00_2024WN004003.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2024WN223008.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,5,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1
2023-12-23T14-29-00_2023WN357061.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-11-23T16-26-00_2023WN327165.txt,anthropic-claude-haiku-4.5,kveten,true,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
